account_id,customer_id,account_type,status,open_date,close_date
1,1,Checking,Active,2021-06-15,
2,2,Savings,Active,2023-05-26,
3,3,Checking,Active,2023-01-05,
4,4,Checking,Active,2021-06-01,
5,5,Savings,Active,2022-03-20,
6,6,Checking,Active,2023-06-06,
7,7,Checking,Active,2022-03-05,
8,8,Checking,Active,2021-07-06,
9,9,Checking,Active,2022-06-29,
10,10,Checking,Closed,2023-06-11,2024-09-17
11,11,Savings,Active,2023-05-07,
12,12,Checking,Active,2022-04-02,
13,13,Savings,Active,2022-12-24,
14,14,Checking,Active,2022-12-27,
15,15,Checking,Active,2023-01-31,
16,16,Checking,Active,2022-11-26,
17,17,Savings,Active,2023-03-20,
18,18,Checking,Active,2022-02-04,
19,19,Checking,Closed,2022-11-03,2022-11-28
20,20,Checking,Active,2022-05-22,
21,21,Checking,Active,2022-03-25,
22,22,Savings,Active,2023-09-08,
23,23,Checking,Active,2021-04-15,
24,24,Savings,Active,2022-08-05,
25,25,Savings,Active,2023-04-21,
26,26,Savings,Active,2022-02-16,
27,27,Checking,Closed,2023-09-30,2025-01-30
28,28,Checking,Active,2020-12-07,
29,29,Checking,Active,2023-05-12,
30,30,Checking,Active,2022-11-03,
31,31,Savings,Active,2021-12-13,
32,32,Checking,Active,2023-08-11,
33,33,Savings,Active,2023-04-13,
34,34,Checking,Active,2023-04-12,
35,35,Checking,Active,2021-10-15,
36,36,Checking,Active,2021-01-14,
37,37,Checking,Active,2023-04-21,
38,38,Savings,Active,2022-11-12,
39,39,Savings,Active,2021-07-18,
40,40,Checking,Closed,2023-01-19,2025-09-22
41,41,Checking,Active,2023-06-16,
42,42,Checking,Active,2022-06-09,
43,43,Checking,Active,2021-06-13,
44,44,Checking,Active,2023-09-19,
45,45,Checking,Active,2021-11-07,
46,46,Savings,Active,2020-12-15,
47,47,Savings,Active,2023-04-04,
48,48,Checking,Active,2023-10-20,
49,49,Checking,Active,2021-04-15,
50,50,Savings,Active,2021-08-19,
51,51,Savings,Active,2020-11-25,
52,52,Savings,Active,2022-09-12,
53,53,Checking,Active,2022-02-26,
54,54,Savings,Active,2022-08-08,
55,55,Checking,Active,2021-06-19,
56,56,Checking,Active,2022-07-30,
57,57,Savings,Active,2023-10-04,
58,58,Savings,Active,2021-09-08,
59,59,Checking,Active,2022-07-26,
60,60,Checking,Active,2022-12-15,
61,61,Checking,Active,2023-06-03,
62,62,Checking,Active,2022-10-29,
63,63,Checking,Active,2021-01-31,
64,64,Checking,Active,2021-05-29,
65,65,Checking,Active,2023-01-10,
66,66,Savings,Active,2021-09-14,
67,67,Checking,Active,2023-03-17,
68,68,Checking,Active,2022-03-15,
69,69,Checking,Active,2023-08-21,
70,70,Checking,Active,2022-11-09,
71,71,Checking,Active,2023-01-21,
72,72,Savings,Active,2022-06-04,
73,73,Checking,Active,2022-02-26,
74,74,Savings,Active,2021-07-23,
75,75,Savings,Active,2022-10-11,
76,76,Savings,Closed,2023-02-02,2024-07-17
77,77,Checking,Active,2023-02-22,
78,78,Checking,Active,2022-04-30,
79,79,Savings,Active,2023-09-11,
80,80,Savings,Active,2023-09-19,
81,81,Checking,Active,2023-07-23,
82,82,Savings,Active,2023-10-09,
83,83,Savings,Active,2021-12-11,
84,84,Checking,Active,2023-06-01,
85,85,Checking,Active,2022-11-18,
86,86,Checking,Active,2021-08-21,
87,87,Savings,Active,2021-11-13,
88,88,Savings,Active,2022-01-03,
