interaction_id,customer_id,interaction_date,interaction_type
1,1038,2025-10-15,Complaint
2,1636,2025-10-25,Technical Support
3,883,2025-09-01,Product Inquiry
4,1121,2025-08-22,Service Inquiry
5,317,2025-09-29,Product Inquiry
6,226,2025-07-29,Service Inquiry
7,802,2025-09-03,Product Inquiry
8,1282,2025-08-10,Service Inquiry
9,1460,2025-02-26,Product Inquiry
10,226,2025-10-02,Product Inquiry
11,389,2025-10-13,Service Inquiry
12,1768,2025-10-16,Product Inquiry
13,1696,2025-08-31,Service Inquiry
14,684,2025-09-27,Service Inquiry
15,1913,2025-10-11,Service Inquiry
16,326,2025-09-20,Service Inquiry
17,1629,2025-10-15,Service Inquiry
18,1382,2025-10-07,Service Inquiry
19,789,2025-08-24,Service Inquiry
20,1701,2025-07-25,Technical Support
21,631,2025-09-06,Service Inquiry
22,305,2025-10-18,Service Inquiry
23,1825,2025-10-10,Technical Support
24,721,2025-10-06,Product Inquiry
25,1256,2025-08-30,Service Inquiry
26,212,2025-10-05,Service Inquiry
27,683,2025-06-24,Service Inquiry
28,1873,2025-09-27,Product Inquiry
29,1445,2025-10-17,Product Inquiry
30,1356,2025-10-14,Technical Support
31,1858,2025-10-11,Complaint
32,594,2025-07-24,Product Inquiry
33,411,2025-07-21,Service Inquiry
34,401,2025-09-27,Product Inquiry
35,1189,2024-12-12,Service Inquiry
36,974,2025-07-31,Product Inquiry
37,533,2025-04-29,Service Inquiry
38,1745,2025-10-06,Product Inquiry
39,1102,2025-07-17,Service Inquiry
40,1520,2025-10-04,Product Inquiry
41,1439,2025-01-16,Service Inquiry
42,60,2025-01-21,Service Inquiry
43,1102,2025-01-28,Product Inquiry
44,1442,2025-08-11,Service Inquiry
45,1449,2025-10-21,Service Inquiry
46,1498,2025-10-15,Technical Support
47,1024,2025-10-18,Service Inquiry
48,903,2025-10-15,Service Inquiry
49,1747,2025-09-11,Product Inquiry
50,13,2025-06-24,Complaint
51,1419,2025-05-10,Service Inquiry
52,74,2025-07-10,Service Inquiry
53,828,2025-09-23,Service Inquiry
54,1256,2025-10-06,Complaint
55,150,2025-10-15,Product Inquiry
56,1374,2025-05-23,Complaint
57,1026,2025-08-23,Service Inquiry
58,560,2025-09-19,Service Inquiry
59,1578,2025-09-19,Service Inquiry
60,1821,2025-07-22,Technical Support
61,461,2025-10-03,Service Inquiry
62,604,2025-08-24,Service Inquiry
63,1675,2025-08-11,Technical Support
64,695,2025-09-02,Product Inquiry
65,1650,2025-09-12,Service Inquiry
66,180,2025-10-19,Product Inquiry
67,1007,2025-10-16,Technical Support
68,1175,2025-07-20,Service Inquiry
69,1366,2025-10-12,Service Inquiry
70,1550,2025-10-12,Service Inquiry
71,364,2025-07-08,Service Inquiry
72,1166,2025-10-22,Service Inquiry
73,842,2025-09-27,Service Inquiry
74,1095,2025-09-19,Service Inquiry
75,994,2025-10-09,Service Inquiry
76,910,2025-08-15,Technical Support
77,1472,2025-10-10,Service Inquiry
78,273,2025-10-04,Complaint
79,1159,2025-10-27,Service Inquiry
80,130,2025-06-28,Service Inquiry
81,1124,2025-10-16,Technical Support
82,1715,2025-06-04,Service Inquiry
83,1951,2025-10-10,Account Maintenance
84,1502,2025-10-05,Service Inquiry
85,1826,2025-06-25,Service Inquiry
86,1951,2025-10-13,Account Maintenance
87,1073,2025-06-08,Product Inquiry
88,1954,2025-08-30,Technical Support
89,604,2025-09-26,Service Inquiry
90,531,2025-09-09,Service Inquiry
91,397,2025-07-21,Service Inquiry
92,1724,2025-10-12,Product Inquiry
93,906,2025-10-11,Technical Support
94,1859,2025-10-01,Service Inquiry
95,788,2025-08-22,Service Inquiry
96,777,2025-10-12,Product Inquiry
97,1549,2025-10-01,Service Inquiry
98,308,2025-10-16,Technical Support
99,946,2025-09-09,Service Inquiry
100,956,2025-10-14,Technical Support
101,298,2025-08-11,Service Inquiry
102,1671,2025-09-04,Service Inquiry
103,1043,2025-09-20,Technical Support
104,800,2025-07-08,Technical Support
105,595,2025-06-12,Complaint
106,1958,2025-09-01,Service Inquiry
107,1854,2025-10-21,Technical Support
108,1481,2025-09-18,Complaint
109,44,2025-06-27,Product Inquiry
110,1297,2025-07-17,Product Inquiry
111,1590,2025-09-14,Account Maintenance
112,1185,2025-10-01,Complaint
113,436,2025-08-17,Service Inquiry
114,1693,2025-09-17,Account Maintenance
115,301,2025-08-18,Service Inquiry
116,332,2025-07-04,Service Inquiry
117,483,2025-09-02,Complaint
118,632,2025-10-16,Product Inquiry
119,1267,2025-01-27,Service Inquiry
120,1537,2025-04-28,Technical Support
121,290,2025-10-18,Product Inquiry
122,1798,2025-10-16,Service Inquiry
123,865,2025-04-20,Service Inquiry
124,1659,2025-10-21,Service Inquiry
125,1036,2025-08-18,Service Inquiry
126,217,2025-10-19,Technical Support
127,1614,2025-09-13,Complaint
128,447,2025-09-06,Complaint
129,296,2025-08-12,Account Maintenance
130,324,2025-10-07,Service Inquiry
131,525,2025-09-26,Product Inquiry
132,1634,2025-04-11,Service Inquiry
133,184,2025-10-28,Service Inquiry
134,223,2025-10-16,Complaint
135,1962,2025-10-12,Product Inquiry
136,1147,2025-09-14,Service Inquiry
137,1400,2025-10-04,Service Inquiry
138,1352,2025-10-06,Service Inquiry
139,1043,2025-05-05,Service Inquiry
140,1403,2025-09-27,Product Inquiry
141,1738,2025-10-21,Service Inquiry
142,450,2025-07-05,Service Inquiry
143,292,2025-07-06,Technical Support
144,597,2025-09-06,Technical Support
145,697,2025-09-09,Technical Support
146,1979,2025-08-29,Service Inquiry
147,290,2025-10-03,Product Inquiry
148,1304,2025-09-11,Service Inquiry
149,797,2025-10-16,Technical Support
150,691,2025-08-03,Service Inquiry
151,784,2025-06-19,Product Inquiry
152,1653,2025-09-20,Account Maintenance
153,336,2025-09-16,Product Inquiry
154,1081,2025-07-20,Complaint
155,628,2025-08-22,Product Inquiry
156,65,2025-07-15,Service Inquiry
157,1085,2025-09-28,Service Inquiry
158,1140,2025-09-27,Service Inquiry
159,933,2025-04-14,Service Inquiry
160,878,2025-10-25,Service Inquiry
161,1376,2025-08-20,Service Inquiry
162,581,2025-09-16,Complaint
163,999,2025-10-15,Service Inquiry
164,612,2025-09-27,Complaint
165,1242,2025-07-30,Service Inquiry
166,605,2025-07-10,Technical Support
167,867,2025-09-02,Complaint
168,703,2025-10-13,Service Inquiry
169,1222,2025-09-23,Complaint
170,1944,2025-07-28,Product Inquiry
171,1603,2025-10-07,Service Inquiry
172,728,2025-08-27,Service Inquiry
173,1170,2025-07-14,Technical Support
174,1529,2025-07-16,Service Inquiry
175,431,2025-08-03,Product Inquiry
176,126,2025-08-30,Complaint
177,100,2025-02-26,Product Inquiry
178,893,2025-10-19,Service Inquiry
179,1626,2025-10-09,Service Inquiry
180,1816,2025-09-26,Product Inquiry
181,1237,2025-09-26,Technical Support
182,1074,2025-10-02,Product Inquiry
183,1713,2025-04-06,Service Inquiry
184,1502,2025-10-03,Complaint
185,1687,2025-10-27,Service Inquiry
186,690,2025-10-17,Service Inquiry
187,1148,2025-07-29,Technical Support
188,1518,2025-10-19,Service Inquiry
189,1148,2025-09-21,Product Inquiry
190,1484,2025-07-23,Product Inquiry
191,1612,2025-08-01,Service Inquiry
192,897,2025-09-17,Service Inquiry
193,1660,2025-07-15,Service Inquiry
194,247,2025-09-19,Product Inquiry
195,1754,2025-07-02,Product Inquiry
196,1815,2025-04-21,Complaint
197,437,2025-10-03,Service Inquiry
198,1069,2025-09-30,Product Inquiry
199,236,2025-09-04,Product Inquiry
200,224,2025-09-27,Service Inquiry
201,1999,2025-08-17,Service Inquiry
202,205,2025-09-02,Account Maintenance
203,1085,2025-07-19,Service Inquiry
204,599,2025-08-01,Service Inquiry
