transaction_id,account_id,transaction_date,transaction_type,amount
1,2895,2025-06-15,Debit,52.08
2,572,2024-12-29,Credit,353.66
3,2853,2024-10-24,Credit,74.89
4,827,2025-05-26,Debit,1.94
5,3344,2025-07-15,Transfer,76.28
6,2460,2025-04-25,Credit,7.34
7,2183,2025-08-03,Credit,13.66
8,1305,2025-09-02,Transfer,28.19
9,2884,2025-04-07,Debit,26.69
10,711,2025-07-07,Credit,258.94
11,1231,2025-02-12,Debit,16.99
12,3023,2025-07-21,Debit,23.75
13,2687,2024-07-14,Credit,295.79
14,3390,2025-07-23,Debit,23.46
15,1123,2025-02-06,Credit,15.2
16,742,2025-03-17,Debit,95.03
17,2682,2024-11-21,Credit,65.5
18,3256,2025-03-12,Debit,142.88
19,2843,2025-01-17,Credit,22.48
20,1113,2025-06-13,Credit,81.65
21,818,2025-07-01,Credit,1.87
22,3661,2025-06-26,Payment,10.01
23,4401,2025-03-01,Debit,18.43
24,3126,2025-06-20,Debit,44.92
25,156,2025-03-04,Transfer,58.68
26,3132,2025-07-31,Debit,110.81
27,2676,2025-04-16,Debit,50.49
28,1563,2025-07-24,Credit,31.66
29,1860,2024-12-15,Debit,13.52
30,2954,2025-07-15,Debit,127.85
31,4210,2025-02-27,Credit,68.25
32,1665,2025-01-17,Transfer,20.23
33,1965,2025-01-19,Credit,6.13
34,1198,2025-04-03,Debit,44.87
35,1346,2025-08-09,Credit,27.23
36,675,2025-03-09,Debit,21.63
37,2561,2025-07-27,Credit,71.72
38,885,2025-06-22,Debit,23.08
39,4394,2024-10-12,Debit,6.62
40,328,2024-09-18,Transfer,282.22
41,2912,2024-05-26,Debit,17.06
42,1140,2025-01-16,Debit,28.07
43,3257,2025-10-16,Credit,66.02
44,1340,2025-08-09,Credit,22.75
45,1407,2025-04-11,Credit,5.12
46,1569,2025-07-14,Credit,41.46
47,1436,2024-09-29,Debit,24.72
48,3786,2025-09-04,Debit,42.3
49,380,2025-06-21,Debit,56.67
50,3553,2025-06-12,Debit,9.69
51,3146,2025-09-25,Credit,25.2
52,2059,2025-04-01,Debit,45.95
53,3843,2025-04-13,Credit,26.77
54,2468,2025-04-03,Payment,64.91
55,3885,2025-08-10,Credit,17.34
56,2030,2025-03-30,Debit,211.55
57,2074,2025-02-22,Debit,17.59
58,2681,2024-12-25,Debit,19.49
59,4060,2025-10-02,Debit,24.33
60,1684,2025-08-18,Debit,18.95
61,3176,2025-06-18,Transfer,28.17
62,3811,2024-08-02,Debit,102.8
63,3998,2025-03-31,Credit,172.65
64,2441,2025-03-26,Debit,24.2
65,3304,2025-02-24,Debit,131.14
66,4354,2025-08-15,Debit,5.59
67,3619,2025-04-03,Debit,71.41
68,1405,2025-01-26,Credit,128.18
69,1733,2025-04-30,Debit,23.29
70,1205,2025-06-06,Credit,19.25
71,2167,2025-08-02,Credit,10.41
72,453,2025-05-15,Debit,6.2
73,4161,2025-09-21,Payment,11.8
74,3204,2025-06-25,Debit,57.52
75,897,2025-03-04,Debit,54.92
76,4468,2025-05-14,Transfer,251.72
77,1088,2025-08-03,Debit,10.7
78,2469,2025-01-17,Credit,63.65
79,734,2025-04-07,Credit,33.8
80,1391,2025-01-26,Debit,74.12
81,2362,2025-08-29,Debit,45.8
82,3888,2025-06-22,Debit,15.9
83,4444,2025-07-24,Debit,25.37
84,1281,2025-06-11,Credit,8.09
85,3784,2025-03-01,Debit,24.56
86,803,2025-07-03,Credit,2.98
87,1928,2025-05-13,Transfer,7.42
88,3905,2025-05-25,Credit,32.86
89,3021,2025-07-02,Debit,15.18
90,233,2025-02-25,Debit,18.17
91,3588,2025-08-26,Debit,23.34
92,462,2025-01-16,Credit,43.26
93,3428,2025-09-06,Credit,5.29
94,4345,2025-05-26,Transfer,10.57
95,3231,2024-08-29,Debit,166.13
