account_id,account_type,customer_id
ACC_00001,Savings,CUST_0924
ACC_00002,Savings,CUST_1821
ACC_00003,Current,CUST_0512
ACC_00004,Salary,CUST_1135
ACC_00005,Savings,CUST_1053
ACC_00006,Savings,CUST_1979
ACC_00007,Current,CUST_1075
ACC_00008,Savings,CUST_1441
ACC_00009,Savings,CUST_0323
ACC_00010,Savings,CUST_1954
ACC_00011,Current,CUST_0260
ACC_00012,Savings,CUST_0209
ACC_00013,Current,CUST_0258
ACC_00014,Business,CUST_0804
ACC_00015,Savings,CUST_1864
ACC_00016,Savings,CUST_0084
ACC_00017,Salary,CUST_0073
ACC_00018,Savings,CUST_1801
ACC_00019,Current,CUST_1339
ACC_00020,Current,CUST_1691
ACC_00021,Current,CUST_0408
ACC_00022,Current,CUST_1654
ACC_00023,Salary,CUST_1621
ACC_00024,Current,CUST_0457
ACC_00025,Savings,CUST_1217
ACC_00026,Current,CUST_0430
ACC_00027,Savings,CUST_1377
ACC_00028,Current,CUST_1071
ACC_00029,Savings,CUST_1355
ACC_00030,Savings,CUST_1871
ACC_00031,Business,CUST_1458
ACC_00032,Current,CUST_1346
ACC_00033,Salary,CUST_1632
ACC_00034,Current,CUST_0146
ACC_00035,Savings,CUST_1267
ACC_00036,Savings,CUST_1482
ACC_00037,Current,CUST_0452
ACC_00038,Current,CUST_0991
ACC_00039,Salary,CUST_0233
ACC_00040,Savings,CUST_0908
ACC_00041,Savings,CUST_0582
ACC_00042,Savings,CUST_0281
ACC_00043,Savings,CUST_0285
ACC_00044,Savings,CUST_0480
ACC_00045,Savings,CUST_1900
ACC_00046,Salary,CUST_1666
ACC_00047,Savings,CUST_1654
ACC_00048,Savings,CUST_0515
ACC_00049,Business,CUST_1266
ACC_00050,Savings,CUST_0482
ACC_00051,Savings,CUST_0932
ACC_00052,Business,CUST_0709
ACC_00053,Current,CUST_1522
ACC_00054,Savings,CUST_1144
ACC_00055,Salary,CUST_0455
ACC_00056,Salary,CUST_0422
ACC_00057,Business,CUST_0811
ACC_00058,Current,CUST_1019
ACC_00059,Current,CUST_1953
ACC_00060,Savings,CUST_0366
ACC_00061,Savings,CUST_1899
ACC_00062,Savings,CUST_0723
ACC_00063,Current,CUST_1667
ACC_00064,Current,CUST_1160
ACC_00065,Savings,CUST_1955
ACC_00066,Savings,CUST_1700
ACC_00067,Savings,CUST_1543
ACC_00068,Business,CUST_0382
ACC_00069,Savings,CUST_0607
ACC_00070,Current,CUST_0919
ACC_00071,Savings,CUST_0411
ACC_00072,Savings,CUST_1142
ACC_00073,Savings,CUST_1813
ACC_00074,Current,CUST_1941
ACC_00075,Savings,CUST_0292
ACC_00076,Current,CUST_0913
ACC_00077,Salary,CUST_1613
ACC_00078,Business,CUST_1082
ACC_00079,Current,CUST_1036
ACC_00080,Savings,CUST_0462
ACC_00081,Salary,CUST_1308
ACC_00082,Salary,CUST_1587
ACC_00083,Savings,CUST_0684
ACC_00084,Savings,CUST_0054
ACC_00085,Current,CUST_0919
ACC_00086,Current,CUST_0138
ACC_00087,Salary,CUST_0582
ACC_00088,Current,CUST_0047
ACC_00089,Savings,CUST_0055
ACC_00090,Savings,CUST_1564
ACC_00091,Current,CUST_1688
ACC_00092,Current,CUST_1121
ACC_00093,Salary,CUST_1135
ACC_00094,Savings,CUST_1265
ACC_00095,Current,CUST_1467
ACC_00096,Current,CUST_0137
ACC_00097,Savings,CUST_0088
ACC_00098,Salary,CUST_0465
ACC_00099,Savings,CUST_0103
ACC_00100,Savings,CUST_1041
ACC_00101,Current,CUST_0434
ACC_00102,Current,CUST_1683
ACC_00103,Current,CUST_0090
ACC_00104,Business,CUST_1241
ACC_00105,Savings,CUST_0230
ACC_00106,Savings,CUST_0019
ACC_00107,Current,CUST_0914
ACC_00108,Savings,CUST_1016
ACC_00109,Current,CUST_1683
ACC_00110,Current,CUST_1424
ACC_00111,Savings,CUST_0460
ACC_00112,Current,CUST_0384
ACC_00113,Savings,CUST_1563
ACC_00114,Current,CUST_1849
ACC_00115,Savings,CUST_0215
ACC_00116,Savings,CUST_0800
ACC_00117,Current,CUST_1172
ACC_00118,Savings,CUST_0784
ACC_00119,Savings,CUST_1676
ACC_00120,Savings,CUST_1609
ACC_00121,Current,CUST_1428
ACC_00122,Savings,CUST_0263
ACC_00123,Savings,CUST_0865
ACC_00124,Current,CUST_0467
ACC_00125,Savings,CUST_0429
ACC_00126,Savings,CUST_1232
ACC_00127,Savings,CUST_0878
ACC_00128,Savings,CUST_1688
ACC_00129,Salary,CUST_0224
ACC_00130,Current,CUST_0190
ACC_00131,Current,CUST_1794
ACC_00132,Savings,CUST_0691
ACC_00133,Savings,CUST_1601
ACC_00134,Salary,CUST_1561
ACC_00135,Current,CUST_1195
ACC_00136,Savings,CUST_1629
ACC_00137,Current,CUST_0954
ACC_00138,Current,CUST_0598
ACC_00139,Current,CUST_0550
ACC_00140,Savings,CUST_0656
ACC_00141,Current,CUST_0330
ACC_00142,Current,CUST_1285
ACC_00143,Current,CUST_1550
ACC_00144,Current,CUST_0541
ACC_00145,Savings,CUST_1905
ACC_00146,Savings,CUST_1053
ACC_00147,Savings,CUST_0563
ACC_00148,Salary,CUST_1665
ACC_00149,Current,CUST_0766
ACC_00150,Savings,CUST_0483
ACC_00151,Current,CUST_0096
ACC_00152,Savings,CUST_1172
ACC_00153,Savings,CUST_0780
ACC_00154,Savings,CUST_1824
ACC_00155,Savings,CUST_0418
ACC_00156,Salary,CUST_0592
ACC_00157,Business,CUST_1788
ACC_00158,Savings,CUST_1376
ACC_00159,Savings,CUST_1268
ACC_00160,Savings,CUST_1681
ACC_00161,Savings,CUST_0851
ACC_00162,Salary,CUST_1329
ACC_00163,Current,CUST_0828
ACC_00164,Savings,CUST_1887
ACC_00165,Savings,CUST_0301
ACC_00166,Savings,CUST_1832
ACC_00167,Savings,CUST_1179
ACC_00168,Business,CUST_1831
ACC_00169,Salary,CUST_0045
ACC_00170,Savings,CUST_0590
ACC_00171,Current,CUST_0815
ACC_00172,Savings,CUST_0215
ACC_00173,Salary,CUST_0949
ACC_00174,Current,CUST_0659
ACC_00175,Business,CUST_0072
ACC_00176,Current,CUST_1494
ACC_00177,Current,CUST_1619
ACC_00178,Savings,CUST_1862
ACC_00179,Savings,CUST_1004
ACC_00180,Current,CUST_1474
ACC_00181,Savings,CUST_0811
ACC_00182,Salary,CUST_0976
ACC_00183,Business,CUST_0019
ACC_00184,Savings,CUST_0632
ACC_00185,Savings,CUST_1245
ACC_00186,Current,CUST_0858
ACC_00187,Savings,CUST_0637
ACC_00188,Savings,CUST_0471
ACC_00189,Current,CUST_0067
ACC_00190,Salary,CUST_1355
ACC_00191,Savings,CUST_0324
ACC_00192,Salary,CUST_1811
ACC_00193,Current,CUST_0353
ACC_00194,Current,CUST_0892
ACC_00195,Savings,CUST_0073
ACC_00196,Salary,CUST_1879
ACC_00197,Current,CUST_1929
ACC_00198,Savings,CUST_1192
ACC_00199,Savings,CUST_1292
ACC_00200,Current,CUST_1572
ACC_00201,Business,CUST_0673
ACC_00202,Savings,CUST_0418
ACC_00203,Savings,CUST_0958
ACC_00204,Savings,CUST_1894
ACC_00205,Current,CUST_0673
ACC_00206,Savings,CUST_1780
ACC_00207,Salary,CUST_1879
ACC_00208,Current,CUST_1274
ACC_00209,Savings,CUST_0180
ACC_00210,Current,CUST_0846
ACC_00211,Savings,CUST_0449
ACC_00212,Savings,CUST_1317
ACC_00213,Savings,CUST_0164
ACC_00214,Savings,CUST_0036
ACC_00215,Current,CUST_0654
ACC_00216,Savings,CUST_1929
ACC_00217,Savings,CUST_0237
ACC_00218,Savings,CUST_1997
ACC_00219,Current,CUST_1402
ACC_00220,Current,CUST_0476
ACC_00221,Current,CUST_1934
ACC_00222,Savings,CUST_0233
ACC_00223,Savings,CUST_1757
ACC_00224,Savings,CUST_0985
ACC_00225,Savings,CUST_1828
ACC_00226,Savings,CUST_0088
ACC_00227,Savings,CUST_0804
ACC_00228,Current,CUST_1400
ACC_00229,Salary,CUST_0712
ACC_00230,Savings,CUST_0074
ACC_00231,Savings,CUST_0935
ACC_00232,Savings,CUST_0172
ACC_00233,Savings,CUST_0208
ACC_00234,Business,CUST_1634
ACC_00235,Savings,CUST_1831
ACC_00236,Current,CUST_1173
ACC_00237,Salary,CUST_1771
ACC_00238,Business,CUST_0362
ACC_00239,Current,CUST_1524
ACC_00240,Current,CUST_0582
ACC_00241,Current,CUST_1998
ACC_00242,Savings,CUST_0486
ACC_00243,Current,CUST_1513
ACC_00244,Savings,CUST_1508
ACC_00245,Current,CUST_0529
ACC_00246,Current,CUST_0238
ACC_00247,Current,CUST_1044
ACC_00248,Current,CUST_0899
ACC_00249,Savings,CUST_1251
ACC_00250,Savings,CUST_1531
ACC_00251,Current,CUST_0786
ACC_00252,Current,CUST_0892
ACC_00253,Savings,CUST_1850
ACC_00254,Business,CUST_1911
ACC_00255,Salary,CUST_0470
ACC_00256,Savings,CUST_1661
ACC_00257,Salary,CUST_0030
ACC_00258,Savings,CUST_0085
ACC_00259,Business,CUST_0087
ACC_00260,Salary,CUST_0435
ACC_00261,Salary,CUST_0549
ACC_00262,Current,CUST_0542
ACC_00263,Savings,CUST_0581
ACC_00264,Savings,CUST_0955
ACC_00265,Savings,CUST_0975
ACC_00266,Business,CUST_1638
ACC_00267,Salary,CUST_0813
ACC_00268,Business,CUST_1217
ACC_00269,Savings,CUST_0472
ACC_00270,Savings,CUST_0753
ACC_00271,Current,CUST_1076
ACC_00272,Savings,CUST_0793
ACC_00273,Business,CUST_1393
ACC_00274,Current,CUST_0641
ACC_00275,Savings,CUST_1075
ACC_00276,Business,CUST_0145
ACC_00277,Savings,CUST_0507
ACC_00278,Current,CUST_1619
ACC_00279,Current,CUST_0206
ACC_00280,Savings,CUST_1936
ACC_00281,Savings,CUST_0787
ACC_00282,Savings,CUST_0967
ACC_00283,Salary,CUST_0042
ACC_00284,Salary,CUST_1686
ACC_00285,Salary,CUST_1332
ACC_00286,Current,CUST_1621
ACC_00287,Savings,CUST_0788
ACC_00288,Savings,CUST_0180
ACC_00289,Current,CUST_0422
ACC_00290,Salary,CUST_0329
ACC_00291,Current,CUST_0693
ACC_00292,Savings,CUST_0491
ACC_00293,Salary,CUST_1155
ACC_00294,Salary,CUST_1382
ACC_00295,Current,CUST_0147
ACC_00296,Savings,CUST_0015
ACC_00297,Savings,CUST_1317
ACC_00298,Savings,CUST_0582
ACC_00299,Savings,CUST_0831
ACC_00300,Savings,CUST_1850
ACC_00301,Salary,CUST_1416
ACC_00302,Current,CUST_1650
ACC_00303,Savings,CUST_1994
ACC_00304,Savings,CUST_0940
ACC_00305,Savings,CUST_0051
ACC_00306,Savings,CUST_0546
ACC_00307,Savings,CUST_0053
ACC_00308,Savings,CUST_1993
ACC_00309,Savings,CUST_1026
ACC_00310,Salary,CUST_0780
ACC_00311,Savings,CUST_0842
ACC_00312,Current,CUST_1942
ACC_00313,Current,CUST_0932
ACC_00314,Salary,CUST_1062
ACC_00315,Current,CUST_1942
ACC_00316,Savings,CUST_1631
ACC_00317,Savings,CUST_1890
ACC_00318,Savings,CUST_1032
ACC_00319,Savings,CUST_1095
ACC_00320,Savings,CUST_0444
ACC_00321,Savings,CUST_1630
ACC_00322,Current,CUST_0508
ACC_00323,Current,CUST_0955
ACC_00324,Current,CUST_1539
ACC_00325,Savings,CUST_1787
ACC_00326,Salary,CUST_1685
ACC_00327,Savings,CUST_1146
ACC_00328,Current,CUST_1528
ACC_00329,Current,CUST_0071
ACC_00330,Savings,CUST_1386
ACC_00331,Savings,CUST_0786
ACC_00332,Savings,CUST_1459
ACC_00333,Savings,CUST_0947
ACC_00334,Savings,CUST_0216
ACC_00335,Savings,CUST_0990
ACC_00336,Savings,CUST_1998
ACC_00337,Savings,CUST_0357
ACC_00338,Current,CUST_0282
ACC_00339,Savings,CUST_0952
ACC_00340,Current,CUST_1509
ACC_00341,Savings,CUST_1767
ACC_00342,Current,CUST_0946
ACC_00343,Current,CUST_0780
ACC_00344,Salary,CUST_1004
ACC_00345,Current,CUST_1680
ACC_00346,Salary,CUST_1406
ACC_00347,Savings,CUST_1882
ACC_00348,Savings,CUST_0130
ACC_00349,Current,CUST_1477
ACC_00350,Savings,CUST_0794
ACC_00351,Salary,CUST_0902
ACC_00352,Savings,CUST_1076
ACC_00353,Savings,CUST_1927
ACC_00354,Savings,CUST_0301
ACC_00355,Current,CUST_0473
ACC_00356,Current,CUST_1910
ACC_00357,Savings,CUST_0840
ACC_00358,Current,CUST_1171
ACC_00359,Savings,CUST_0195
ACC_00360,Current,CUST_0478
ACC_00361,Current,CUST_0708
ACC_00362,Savings,CUST_1713
ACC_00363,Business,CUST_1995
ACC_00364,Savings,CUST_0739
ACC_00365,Current,CUST_1366
ACC_00366,Current,CUST_1117
ACC_00367,Current,CUST_0193
ACC_00368,Savings,CUST_0474
ACC_00369,Savings,CUST_0673
ACC_00370,Savings,CUST_1816
ACC_00371,Savings,CUST_1830
ACC_00372,Salary,CUST_1699
ACC_00373,Business,CUST_0050
ACC_00374,Savings,CUST_0479
ACC_00375,Salary,CUST_0268
ACC_00376,Savings,CUST_0107
ACC_00377,Savings,CUST_1657
ACC_00378,Savings,CUST_0156
ACC_00379,Savings,CUST_0637
ACC_00380,Salary,CUST_1381
ACC_00381,Current,CUST_0820
ACC_00382,Current,CUST_1044
ACC_00383,Savings,CUST_1511
ACC_00384,Current,CUST_1911
ACC_00385,Salary,CUST_0788
ACC_00386,Savings,CUST_0464
ACC_00387,Salary,CUST_0382
ACC_00388,Current,CUST_0414
ACC_00389,Current,CUST_1793
ACC_00390,Business,CUST_1261
ACC_00391,Savings,CUST_1846
ACC_00392,Current,CUST_0846
ACC_00393,Business,CUST_0274
ACC_00394,Savings,CUST_1061
ACC_00395,Current,CUST_1774
ACC_00396,Current,CUST_1737
ACC_00397,Current,CUST_1770
ACC_00398,Business,CUST_1317
ACC_00399,Current,CUST_0604
ACC_00400,Savings,CUST_1320
ACC_00401,Business,CUST_1718
ACC_00402,Savings,CUST_0204
ACC_00403,Salary,CUST_1642
ACC_00404,Current,CUST_0542
ACC_00405,Savings,CUST_1653
ACC_00406,Savings,CUST_0653
ACC_00407,Salary,CUST_0442
ACC_00408,Current,CUST_0946
ACC_00409,Savings,CUST_0498
ACC_00410,Current,CUST_1586
ACC_00411,Salary,CUST_1078
ACC_00412,Current,CUST_0867
ACC_00413,Savings,CUST_1101
ACC_00414,Savings,CUST_0847
ACC_00415,Salary,CUST_1755
ACC_00416,Savings,CUST_0355
ACC_00417,Savings,CUST_0818
ACC_00418,Savings,CUST_0664
ACC_00419,Current,CUST_0997
ACC_00420,Savings,CUST_1558
ACC_00421,Savings,CUST_1036
ACC_00422,Current,CUST_0420
ACC_00423,Salary,CUST_0898
ACC_00424,Business,CUST_0998
ACC_00425,Current,CUST_0849
ACC_00426,Current,CUST_0382
ACC_00427,Savings,CUST_1806
ACC_00428,Savings,CUST_1386
ACC_00429,Savings,CUST_1792
ACC_00430,Salary,CUST_0128
ACC_00431,Current,CUST_0191
ACC_00432,Salary,CUST_0653
ACC_00433,Savings,CUST_1000
ACC_00434,Current,CUST_0255
ACC_00435,Savings,CUST_1709
ACC_00436,Salary,CUST_1859
ACC_00437,Savings,CUST_1445
